"";"ID";"Somme";"Moy";"Nbrcol";"Min";"Max";"SD";"targetMoy";"targetSD"
"1";"X48df886f9";65346333,32;1675547,00820513;39;28000;2e+07;3863459,6619379;1421564,1025641;3625127,20128627
"2";"X0deb4b6a8";6202000;1550500;4;6000;4e+06;1714083,91470974;15350000;18785366,6453439
"3";"X34b15f335";119155408,66;3610769,95939394;33;30000;2e+07;5649028,1684627;6415219,92606061;8590123,1535614
"4";"a8cb14b00";20200000;10100000;2;5400000;14800000;6646803,74315355;4167200;1602021,12345624
"5";"X2f0771a37";117762000;23552400;5;54000;1e+08;43179858,4157012;6590400;5755006,58557399
"6";"X30347e683";136927444;2913349,87234043;47;144000;20708000;4867344,88558329;3264594,08978723;5269827,69940026
"7";"d08d1fbe3";75202000;15040400;5;6000;4e+07;18616943,1647626;5533600;6247018,87303056
"8";"X6ee66e115";20820000;4164000;5;6e+05;10400000;4209332,48864948;977733,332;1226778,58159454
"9";"X20aa07010";11456987455,56;7668666,302249;1494;2000;319612000;15383013,6250153;6206030,41104418;8658657,73062784
"10";"dc5a8f1d8";692107423,34;5626889,62065041;123;600;6e+07;7815665,93949005;5286498,50617886;6413859,40957732
"11";"X11d86fa6a";869727940,3;5271078,42606061;165;1538;1e+08;11371528,9381806;3977367,46739394;6181557,12700985
"12";"X77c9823f2";38000;38000;1;38000;38000;NA;4e+07;NA
"13";"X8d6c2a0b2";16034000;2672333,33333333;6;172000;6e+06;2295991,08592927;7087266,66666667;7758164,93938268
"14";"X4681de4fd";10068488000;19399784,2003854;519;4000;3,56e+08;41720270,9768052;6608066,49973025;9358673,95934937
"15";"adf119b9a";1195388000;7471175;160;4000;6,6e+07;14238428,3077025;8194602,60525;10659938,3617677
"16";"cff75dd09";204590286,66;5845436,76171429;35;6000;31110000;7210713,78568228;6344978,09542857;8045314,31556706
"17";"X96f83a237";198491400;7939656;25;102000;79600000;16598057,1139637;4547792;5788903,07959404
"18";"b8a716ebf";1769759658,68;5298681,61281437;334;2000;1e+08;10692615,5212621;4485432,11676647;6190293,51167071
"19";"X6c7a4567c";128558744;4591383,71428571;28;30000;21730000;5658777,32938427;3764273,81;4585481,66483404
"20";"X4fcfd2b4d";8654000;320518,518518519;27;28000;1100000;164467,993231877;3868061,72814815;6796476,87402739
"21";"f3b9c0b95";1999344666,66;51265247,8630769;39;20000;2e+08;45690020,9576819;8892439,31641026;10278856,506966
"22";"X71cebf11c";356262000;16964857,1428571;21;4800;153672000;38797053,7568585;4881720,6352381;9450343,71316265
"23";"d966ac62c";690429000;8739607,59493671;79;8000;6e+07;16134777,1824918;8289051,65974684;10661690,5878932
"24";"X68b647452";503088278,04;3840368,53465649;131;511,12;37200000;5640915,96004097;5249476,28931298;6100135,45936661
"25";"c88d108c9";512040000;46549090,9090909;11;40000;1e+08;31427702,8923673;3255818,18181818;4573368,68879345
"26";"ff7b471cd";15060000;3765000;4;60000;6e+06;2601454,72124092;9817083,33;8163617,35996847
"27";"X0d866c3d7";1691802617,14;6608603,97320313;256;2134;7,6e+07;13431756,4570614;4540502,36375;6565669,35821667
"28";"bc3f77679";536082000;13745692,3076923;39;68000;316750000;50865450,1613164;5091224,35846154;8179614,27812388
"29";"bd8f989f1";3311460298,1;5913321,96089286;560;106,66;7e+07;9193705,13330649;5501911,34635714;7356270,99468577
"30";"X0eff5bf95";22272000;2227200;10;12000;1e+07;3434726,47463456;3835300;5629123,18117919
"31";"X22ed6dba3";7692926409,24;10326075,7171007;745;4000;1,5e+08;20003051,2936268;5202127,12107383;7769046,18699608
"32";"X92b13ebba";865885063,44;2748841,4712381;315;1232;6e+07;4910205,45202071;5112739,59060317;6251889,82645578
"33";"X233c7c17c";416396000,06;1918875,57631336;217;2000;2,5e+07;3400079,81895977;4673862,03686636;5972413,01179182
"34";"X2cb4d123e";2807786000;19231410,9589041;146;8000;302312000;33579387,4180989;5194585,18315069;6967827,58924921
"35";"X87ffda550";5571722461,92;7389552,33676393;754;4000;333800000;16594316,555308;6738953,5361008;9153506,55734071
"36";"X822e49b95";5350985190,36;7515428,63814607;712;2000;319612000;19110029,223922;5648652,00848315;8665160,57837062
"37";"X316b978cd";1088074000;9067283,33333333;120;80000;1,62e+08;21461659,0049972;4920878,4555;8702787,69522935
"38";"d04e16aed";1401506761,88;4687313,58488294;299;6000;57900000;7838464,37960654;3827777,90628763;6468146,66083089
"39";"X5d5c5ce6d";1849618000;54400529,4117647;34;810000;3e+08;57103449,0160569;6021764,70647059;6985795,63882997
"40";"ec863cb52";261541300;6227173,80952381;42;40000;103360000;16562953,6433198;3810471,74142857;6289139,11357014
"41";"X11ad148bd";374269454,34;2970392,4947619;126;10902;44848000;6264366,75255156;4614879,48365079;6617671,61536724
"42";"ea18d720e";686541987,38;6298550,34293578;109;330;1e+08;15565576,4396641;4749273,49266055;7809186,00336143
"43";"X408d86ce9";1260227978,88;7501357,01714286;168;762;75400000;12641749,5400433;5391916,7222619;6979093,32334869
"44";"X69d8b4020";418012000;27867466,6666667;15;4000;3,3e+07;11417607,3417124;7441009,524;5961149,31059396
"45";"b0868a049";1313616848;19037925,3333333;69;942;197700000;41266329,0792512;4559323,87594203;6825279,26964944
"46";"X80b14398e";1048967695,68;3227592,90978462;325;136;6e+07;5558151,73487457;5757185,87396923;7305884,45770598
"47";"ecdef52b2";401473140,02;3431394,3591453;117;2000;5e+07;6757850,65199677;4470838,27846154;7243759,44600727
"48";"c36bcacc5";10054000;5027000;2;54000;1e+07;7032884,0456814;249333,33;307355,742841707
"49";"X151d318cd";395200000;9880000;40;96000;85600000;16741933,1298114;4327865,6055;6227636,14500879
"50";"ab0cddb90";88134000;8813400;10;44000;2,8e+07;9677200,24019803;5428466,666;8893344,68373104
